supplement,contraindications,condition,problem_category,category,category_source,indication_summary,indication_summary_confidence,pmid,year,title,study_design,outcome_direction,notes,doses,demographics,study_categories,source_conditions,original_labels,evidence_tier_study,evidence_tier_confidence,evidence_tier_rationale
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Tension Headache,,Musculoskeletal & Pain,manual_pair,"The evidence for 5-hydroxytryptophan in the prophylaxis of chronic tension-type headache is low and mixed. A single randomized controlled trial reported no significant changes in headache frequency or intensity, although there was a noted decrease in analgesic consumption and a favorable subjective opinion among participants at a dose of 300 mg per day for 8 weeks. Overall, the findings do not support a clear benefit for this supplement in this indication.",0.8,10849040,2000,"L-5-Hydroxytryptophan in the prophylaxis of chronic tension-type headache: a double-blind, randomized, placebo-controlled study. For the Portuguese Head Society.",randomized_controlled_trial,mixed_unclear,"While there was no significant change in headache frequency or intensity, there was a decrease in analgesic consumption and a favorable subjective opinion during follow-up.",300 mg per day 8 weeks,,,chronic tension-type headache,chronic tension-type headache,Tier 1,0.74,"Parallel, double-blind, randomized, placebo-controlled human RCT directly testing 5-HTP for chronic tension-type headache with primary clinical headache outcomes. Sample size is moderate (78 randomized, 65 analyzed) with good methods. Although results were mixed (no significant change in frequency/intensity during treatment but reduced analgesic use and post-treatment improvement), the study design and relevance meet Tier 1 criteria."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Depression,,"Energy, Mood, & Mental Health",manual_pair,"The clinical evidence for 5-hydroxytryptophan (5-HTP) in treating depression is positive, with four studies reporting significant benefits. Doses varied, with some studies using 50 mg daily, 100 mg twice daily, and a single dose of 200 mg. No adverse effects were reported in the reviewed studies, but the overall quality and consistency of the evidence should be considered when interpreting these findings.",0.9,32067288,2020,Efficacy and safety of 5-hydroxytryptophan on depression and apathy in Parkinson's disease: a preliminary finding.,randomized_controlled_trial,benefit,"The study shows significant improvement in depressive symptoms with 5-HTP compared to placebo, indicating a clinical benefit.",50 mg daily 4 weeks,Parkinson's Disease,,apathy,apathy; depression; first depressive episode; major depressive disorder; neuroendocrine response; parkinson's disease; snri-resistant depression; ssri-resistant depression,Tier 2,0.62,"Randomized, double-blind, placebo-controlled cross-over trial (n=25) in Parkinson’s patients assessed depression as a primary outcome and found significant improvement on HDRS with 5-HTP vs placebo. However, the study is small, short (4 weeks), single-center, and in a specific population (PD), limiting generalizability to broader depression. Thus, moderate human evidence."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Depression,,"Energy, Mood, & Mental Health",manual_pair,"The clinical evidence for 5-hydroxytryptophan (5-HTP) in treating depression is positive, with four studies reporting significant benefits. Doses varied, with some studies using 50 mg daily, 100 mg twice daily, and a single dose of 200 mg. No adverse effects were reported in the reviewed studies, but the overall quality and consistency of the evidence should be considered when interpreting these findings.",0.9,23380314,2013,Comparative study of efficacy of l-5-hydroxytryptophan and fluoxetine in patients presenting with first depressive episode.,randomized_controlled_trial,benefit,"The study shows significant antidepressant effects of l-5-HTP, indicating a benefit in treating depression.",8 weeks,,,depression,apathy; depression; first depressive episode; major depressive disorder; neuroendocrine response; parkinson's disease; snri-resistant depression; ssri-resistant depression,Tier 2,0.66,"Double-blind randomized controlled trial comparing 5-HTP to fluoxetine over 8 weeks with depression (HAM-D) as the primary clinical outcome. Findings showed similar and significant improvement, indicating benefit. However, the sample size was modest (n=60 completers), there was no placebo arm, and details on dosing are unclear, so strength is moderate rather than strong."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Depression,,"Energy, Mood, & Mental Health",manual_pair,"The clinical evidence for 5-hydroxytryptophan (5-HTP) in treating depression is positive, with four studies reporting significant benefits. Doses varied, with some studies using 50 mg daily, 100 mg twice daily, and a single dose of 200 mg. No adverse effects were reported in the reviewed studies, but the overall quality and consistency of the evidence should be considered when interpreting these findings.",0.9,28787372,2017,An Open-Label Pilot Study of Combined Augmentation With Creatine Monohydrate and 5-Hydroxytryptophan for Selective Serotonin Reuptake Inhibitor- or Serotonin-Norepinephrine Reuptake Inhibitor-Resistant Depression in Adult Women.,clinical_trial,benefit,"The study showed a significant decrease in depression scores, indicating a benefit from the treatment.",100 mg twice daily 8 weeks,Women,,major depressive disorder,apathy; depression; first depressive episode; major depressive disorder; neuroendocrine response; parkinson's disease; snri-resistant depression; ssri-resistant depression,Tier 3,0.42,"Open-label, uncontrolled pilot in 15 women using 5-HTP combined with creatine as augmentation to ongoing SSRI/SNRI therapy. Although depression scores improved on a primary clinical outcome (HAM-D), the small size, lack of control/blinding, adjunctive design, and co-administration with creatine prevent attribution of effect to 5-HTP alone. Preliminary human evidence."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Improved Social Cognition,,Cognitive & Neurological Function,manual_pair,"One randomized controlled trial suggests that 5-hydroxytryptophan (5-HTP) supplementation may improve social cognition and emotion recognition, particularly in older adults, over a 4-week period. However, the evidence is limited to a single study, and further research is needed to confirm these findings and assess long-term effects and safety.",0.7,34737364,2021,Tryptophan-enriched diet or 5-hydroxytryptophan supplementation given in a randomized controlled trial impacts social cognition on a neural and behavioral level.,randomized_controlled_trial,benefit,"The study shows benefits in social cognition and emotion recognition with 5-HTP supplementation, particularly in older participants.",4 weeks,,,emotion recognition,emotion recognition; moral evaluation; social cognition,Tier 2,0.58,"Double-blind, placebo-controlled RCT (n=77) tested 5-HTP on social-cognitive tasks, making the indication a primary outcome. 5-HTP acutely altered moral evaluation (more reprehensible ratings), indicating a behavioral effect relevant to social cognition. However, improvements in emotion recognition were reported for tryptophan (dietary) in older participants, not clearly for 5-HTP, and some endpoints were neuroimaging with uncertain clinical significance. Acute dosing and limited scope of effects reduce strength from Tier 1."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Weight Loss,,Weight & Body Composition,manual_pair,"Human clinical evidence suggests that 5-hydroxytryptophan (5-HTP) may have beneficial effects on body weight, with two randomized controlled trials reporting significant reductions in fat mass and improvements in satiety and BMI. Doses reported include 100 mg daily and an oral spray over four weeks. However, the overall evidence is limited and further research is needed to confirm these findings and assess long-term safety.",0.7,35583055,2023,The Effects of 5-HTP on Body Composition: An 8-Week Preliminary RCT.,randomized_controlled_trial,benefit,"The study found a significant decrease in fat mass in the 5-HTP group, indicating a benefit.",100 mg daily 8 weeks (CLEANMOOD™),,,body composition,body composition; fat mass; hunger; overweight; satiety,Tier 2,0.58,"This is a human randomized controlled trial reporting a significant reduction in fat mass with 5-HTP, a clinically relevant outcome for weight loss. However, it is a small, preliminary 8-week study in exercise-trained individuals with limited methodological detail (e.g., blinding not specified), reducing generalizability and strength versus larger, well-powered trials."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Weight Loss,,Weight & Body Composition,manual_pair,"Human clinical evidence suggests that 5-hydroxytryptophan (5-HTP) may have beneficial effects on body weight, with two randomized controlled trials reporting significant reductions in fat mass and improvements in satiety and BMI. Doses reported include 100 mg daily and an oral spray over four weeks. However, the overall evidence is limited and further research is needed to confirm these findings and assess long-term safety.",0.7,22142813,2012,"Relationship between the absorption of 5-hydroxytryptophan from an integrated diet, by means of Griffonia simplicifolia extract, and the effect on satiety in overweight females after oral spray administration.",randomized_controlled_trial,benefit,The study shows significant benefits in satiety and BMI reduction with 5-hydroxytryptophan supplementation.,4 weeks (oral spray),Overweight; Women,,hunger,body composition; fat mass; hunger; overweight; satiety,Tier 2,0.6,"Double-blind, randomized, placebo-controlled trial showing significant between-group reductions in BMI and appetite in overweight women over 4 weeks. However, the sample size is very small (n=20), weight loss was a secondary outcome (primary was a PK surrogate), and duration was short with a concomitant calorie-restricted diet in both arms. These factors support moderate, not strong, human evidence for weight loss."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Cognitive Performance,,Cognitive & Neurological Function,manual_pair,"Current clinical evidence on 5-hydroxytryptophan (5-HTP) for executive function is limited and indicates potential harm, as a study found that 50 mg doses taken three times daily significantly increased task completion time, suggesting a disruption in dopaminergic function. No studies reported benefits or mixed outcomes, leading to a conclusion of no evidence supporting its use for this indication.",1.0,23609610,2013,Effects of oral 5-hydroxytryptophan on a standardized planning task: insight into possible dopamine/serotonin interactions in the forebrain.,randomized_controlled_trial,harm,"5-HTP significantly lengthened the time to complete tasks, indicating a disruption in dopaminergic function.",50 mg three times (capsules),,,executive function,executive function,Tier 1,0.72,"Human randomized controlled trial (n=68) directly assessed cognitive performance (Tower of London planning task) after 5-HTP vs placebo. The outcome was a primary cognitive measure and showed significant impairment (longer completion time). While acute and limited to a specific task with blinding not explicitly stated, the design and direct relevance support strong human evidence for this indication."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Obsessive-Compulsive Disorder,,"Energy, Mood, & Mental Health",manual_pair,"One randomized controlled trial found that 5-hydroxytryptophan, at a dose of 100 mg twice daily for 12 weeks, significantly improved symptoms of moderate to severe obsessive-compulsive disorder when used as an adjuvant therapy. However, the overall evidence is limited, with only one study reporting a benefit and no data on potential adverse effects or long-term outcomes.",0.7,32541380,2020,5-Hydroxytryptophan as adjuvant therapy in treatment of moderate to severe obsessive-compulsive disorder: a double-blind randomized trial with placebo control.,randomized_controlled_trial,benefit,The study shows significant improvement in OCD symptoms with 5-hydroxytryptophan augmentation therapy.,100 mg twice daily 12 weeks,,,obsessive-compulsive disorder,obsessive-compulsive disorder,Tier 2,0.7,"A double-blind, placebo-controlled RCT (n=60) found significant improvement in Y-BOCS scores with 5-HTP augmentation of fluoxetine over 12 weeks. The indication was a primary clinical outcome and results favored 5-HTP. However, the sample size is modest and it is a single adjunctive study, supporting moderate rather than strong evidence."
5-hydroxytrytophan,adverse events leading to treatment suspension in 4 patients; nausea; nausea in three participants; vomiting,Panic Attacks,,"Energy, Mood, & Mental Health",manual_pair,"One randomized trial indicates that acute administration of L-5-hydroxytryptophan at a dose of 200 mg may significantly reduce panic reactions in patients with panic disorder. However, the overall evidence is limited, with only one study reporting a benefit and no data on potential adverse effects or long-term outcomes.",0.7,12559480,2002,Acute L-5-hydroxytryptophan administration inhibits carbon dioxide-induced panic in panic disorder patients.,randomized_controlled_trial,benefit,"L-5-Hydroxytryptophan significantly reduced panic reactions in patients, indicating a beneficial effect.",200 mg,,,panic disorder,panic disorder,Tier 2,0.6,"Randomized, placebo-controlled human trial in panic disorder patients showed 200 mg 5-HTP acutely reduced panic/anxiety and number of panic attacks during a CO2 challenge. However, the sample was small and the outcome was based on an experimental provocation model rather than real-world panic frequency, limiting strength despite being an RCT."
