condition,category,supplements,pmids,demographics
Tension Headache,Musculoskeletal & Pain,5-hydroxytrytophan,10849040,
Depression,"Energy & Mood; Energy, Mood, & Mental Health",5-hydroxytrytophan; Coenzyme Q10; Creatine; Curcumin; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Fenugreek; L-Theanine; Maca; Magnesium; Melatonin; Probiotics (Lactobacillus); Rhodiola Rosea; Saffron; Selenium; Vitamin B6 (Pyridoxine); Vitamin B7 (Biotin); Vitamin K2,17990195; 23380314; 24722617; 24931003; 25163030; 25837277; 28787372; 31387429; 31669837; 32067288; 33025616; 33171595; 33556410; 33960081; 34664527; 35109763; 35373862; 35883082; 36635595; 37084960; 37264347; 37427624; 37801956; 38658619; 38684047; 39125295; 39242786; 39271063; 39488067; 39754520; 39846976; 40105433; 40281561; 40414301; 40796838,Diabetes Type 2; Fibromyalgia; IBS; Long COVID; Menopause; Multiple Sclerosis; Obese; Older Adults; PCOS; Parkinson's Disease; Women
Improved Social Cognition,Cognitive & Neurological Function,5-hydroxytrytophan,34737364,
Weight Loss,Weight & Body Composition,5-hydroxytrytophan; Ashwagandha; Astaxanthin; Beta-Glucans; Betaine; Chromium; Creatine; Curcumin; Garlic; Grape seed extract; L-Carnitine; Lutein; Probiotic (Akkermansia); Probiotics (Bifidobacterium); Probiotics (Lactobacillus); Vitamin B6 (Pyridoxine); Vitamin K2,17685090; 21480416; 22142813; 22776850; 22822451; 26764322; 27055824; 28952607; 29140808; 30064450; 30977089; 31132422; 31263284; 31713941; 32804855; 33298201; 33974725; 34919104; 35583055; 36678157; 37929031; 38542727; 38931207; 39275173; 39456659; 39461199; 39599737; 39879980; 39964702; 40218949; 40451504; 40527924; 40573153,Diabetes Type 2; Fatty Liver Disease; IBS; Metabolic Syndrome; Obese; Overweight; PCOS; Women
Cognitive Performance,"Cognitive & Neurological Function; Energy, Mood, & Mental Health",5-hydroxytrytophan; Alpha-GPC; Ashwagandha; Astaxanthin; Bacopa Monnieri; Beetroot (Nitrate); Beta-alanine; Choline; Creatine; Docosahexaenoic acid (DHA); Inositol; L-Theanine; L-Tyrosine; Lemon Balm; Lion's Mane; Lutein; Nicotinamide Riboside; Panax ginseng; Rhodiola Rosea; Selenium; Taurine; Zeaxanthin,11140327; 11842916; 12062586; 12404705; 12888775; 12895688; 15582012; 17901042; 18006208; 18580589; 18641209; 18681988; 20737519; 23281132; 23609610; 29135938; 29474803; 29614679; 29996843; 30080229; 31468402; 31468412; 33375429; 33751906; 34639501; 34759112; 34836014; 34959823; 36839248; 36839281; 37340479; 37875637; 37917350; 37968687; 38004235; 38140277; 38538390; 38542677; 38696157; 38875437; 38929542; 38931168; 38931306; 38971131; 38975711; 39300341; 39683633; 39703111; 39948152; 40289951; 40479886,Alzheimer's Disease; Dementia; Diabetes Type 2; Men; Multiple Sclerosis; Older Adults; Overweight; Sprinting; Women
Obsessive-Compulsive Disorder,"Energy, Mood, & Mental Health",5-hydroxytrytophan; Ashwagandha; L-Theanine; N-Acetylcysteine (NAC),26374743; 27515872; 32541380; 37169515,
Panic Attacks,"Energy, Mood, & Mental Health",5-hydroxytrytophan; Vitamin B3 (Niacin),12559480; 15260907; 31170623,
Sleep Quality,Sleep,5-hydroxytrytophan; Ashwagandha; Docosahexaenoic acid (DHA); Eicosapentaenoic acid (EPA); Inositol; L-Theanine; Lavender; Lemon Balm; Nicotinamide mononucleotide; Probiotics (Bifidobacterium); Saffron; Vitamin E,24199972; 32056539; 32540634; 32736046; 32818573; 32933356; 33467135; 33905827; 33925432; 34403081; 34438361; 35277011; 36235788; 36904186; 37495431; 37960353; 38309227; 38355674; 38789831; 38892634; 39954269; 40169760; 40762630,Menopause; Older Adults; Parkinson's Disease; Pregnant; Women; Young Adults
Stress,"Energy, Mood, & Mental Health",5-hydroxytrytophan; Ashwagandha; Bacopa Monnieri; Curcumin; Fenugreek; Ginger; L-Theanine; L-Tyrosine; Lavender; Lemon Balm; Lion's Mane; Maca; Melatonin; N-Acetylcysteine (NAC); Peppermint oil; Phosphatidylserine; Rhodiola Rosea; Saffron; Vitamin B1 (Thiamine); Vitamin B2 (Riboflavin); Vitamin B6 (Pyridoxine); Vitamin C; Vitamin E,15272110; 15378679; 15512856; 15546807; 16930802; 18307390; 18611150; 18616866; 18784609; 21178946; 21208586; 22228617; 22575036; 23107346; 23788517; 25081826; 25360512; 26218236; 26502953; 26797633; 27396868; 29995356; 30562392; 31046033; 31517876; 31623400; 32441668; 33626029; 33640257; 33864354; 34222473; 35027302; 35085018; 35170885; 35212648; 35565828; 35851507; 35984870; 35987997; 36476355; 36596553; 36646611; 37386885; 37447245; 37832082; 38004235; 38010274; 38072763; 38408971; 38490827; 38975711; 39400653; 40077679; 40127529; 40145478; 40226680; 40263045; 40375569; 40507089; 40653563; 40795547; 40888191,Burn Patients; CKD; Cancer; Depression; Hemodialysis; Men; Menopause; Multiple Sclerosis; Obese; Older Adults; Overweight; Postoperative; Schizophrenia; Women
Cardiac Recovery,Performance & Recovery,Alpha-GPC; Beetroot (Nitrate); Beta-alanine; Saffron; Selenium,32729923; 35813851; 36235623; 36501148; 37073742; 37120928; 37513551; 38092272; 39853480,Hypertension; Men; Menopause; Obese; Overweight; Running; Women
Athletic Performance,Performance & Recovery,Alpha-GPC; Beetroot (Nitrate); Beta-alanine; Creatine; Probiotics (Bifidobacterium),27930743; 30307991; 32605284; 33187518; 33430250; 33801665; 35010917; 35512758; 35603411; 35726852; 35889796; 37229544; 37244392; 37960207; 38535518; 38953606; 39308082; 39571342; 39579758; 39796497; 39972259; 40145446; 40369047; 40431460,Athletes; CrossFit Athletes; Cycling; Handball Players; Men; Older Adults; Rowers; Running; Soccer Players; Sprinting; Triathletes; Water Polo Players; Women
Increase Motivation,"Energy, Mood, & Mental Health",Alpha-GPC,34207484,
Skin Aging Prevention,"Skin, Hair, & Nails",Apigenin; Astaxanthin; Glucosamine; Glycine; Grape seed extract; Lutein; Panax ginseng; Vitamin C; Zeaxanthin,17446716; 25402429; 25867599; 27279007; 27662341; 28214837; 29941810; 32581313; 38372022; 38931263; 40464749,
Menopause Symptoms,Women's Health,Ashwagandha; Chaste Tree (vitex agnus-castus); Fenugreek,27406028; 30129806; 34553463,Menopause; Women
Fatigue,"Energy, Mood, & Mental Health",Ashwagandha; Coenzyme Q10; Fenugreek; Lavender; Magnesium; Panax ginseng; Rhodiola Rosea; Saffron; Vitamin B1 (Thiamine),11081987; 19016404; 23613825; 24503750; 25268730; 27043120; 28219059; 30854916; 32716906; 33210299; 34444817; 35803088; 37740662; 37880581; 38842713; 39775962; 40005009; 40151031,Cancer; Chemotherapy; Chronic Fatigue Syndrome; Fibromyalgia; IBD; IBS; Multiple Sclerosis; Older Adults; Overweight
Increase Satiety,Weight & Body Composition,Ashwagandha; Fenugreek; Hibiscus; L-Arginine; Peppermint oil,19353539; 19809809; 20020282; 23489975; 29862395; 30816148; 31535460; 34370964; 34591168; 35984871,College Students; Men; Obese; Overweight
Immune System Fortification,"Immune, Inflammation, & Infection",Ashwagandha; Garlic; Probiotics (Bifidobacterium); Probiotics (Lactobacillus); Vitamin B2 (Riboflavin),19388865; 20415736; 26764332; 38201872; 39889684,
Joint Pain,Musculoskeletal & Pain,Ashwagandha; Astaxanthin; Boswellia; Chondroitin; Eicosapentaenoic acid (EPA); Garlic; Ginger; Glucosamine; Lavender; Undenatured type II collagen,12622457; 12837047; 19847319; 24002213; 25306673; 25589511; 25857501; 26178634; 26604721; 26684635; 26822714; 26937646; 27050908; 27809891; 28349271; 28533290; 28657529; 28790224; 29176264; 29451036; 29701488; 29790635; 30195882; 30498336; 30648524; 30657100; 30838706; 31257264; 31470599; 32118508; 32520991; 32549135; 33213125; 33468249; 34212917; 34602400; 35512759; 35512781; 36453014; 37686801; 37686880; 38785054; 38829812; 39212491; 39476307; 39700461; 39875757; 40192256; 40237733; 40501230; 40732990,Chondropathy; Knee Pain; Obese; Osteoarthritis; Overweight; Rheumatoid Arthritis; Women
